NOC,Year,Sport,Total,Gold,Silver,Bronze,Trend,Seasonal,Residual
AFG,1936,Athletics,0,0,0,0,0.0,0.0,0.0
AFG,1960,Athletics,0,0,0,0,0.0,0.0,0.0
AFG,1996,Athletics,0,0,0,0,0.0,0.0,0.0
AFG,2004,Athletics,0,0,0,0,0.0,0.0,0.0
AFG,2008,Athletics,0,0,0,0,0.0,0.0,0.0
AFG,2012,Athletics,0,0,0,0,0.0,0.0,0.0
AFG,2016,Athletics,0,0,0,0,0.0,0.0,0.0
AFG,2020,Athletics,0,0,0,0,0.0,0.0,0.0
AFG,2024,Athletics,0,0,0,0,0.0,0.0,0.0
AFG,1980,Boxing,0,0,0,0,0.0,0.0,0.0
AFG,2004,Boxing,0,0,0,0,0.0,0.0,0.0
AFG,2012,Boxing,0,0,0,0,0.0,0.0,0.0
AFG,1936,Hockey,0,0,0,0,0.0,0.0,0.0
AFG,1948,Hockey,0,0,0,0,0.0,0.0,0.0
AFG,1956,Hockey,0,0,0,0,0.0,0.0,0.0
AFG,2004,Judo,0,0,0,0,0.0,0.0,0.0
AFG,2012,Judo,0,0,0,0,0.0,0.0,0.0
AFG,2016,Judo,0,0,0,0,0.0,0.0,0.0
AFG,2024,Judo,0,0,0,0,0.0,0.0,0.0
AFG,2008,Taekwondo,1,0,0,1,0.5,0.5,0.0
AFG,2012,Taekwondo,1,0,0,1,0.5,0.5,0.0
AFG,2020,Taekwondo,0,0,0,0,0.5000000000000001,-0.5000000000000001,0.0
AFG,1960,Wrestling,0,0,0,0,0.0,0.0,0.0
AFG,1964,Wrestling,0,0,0,0,0.0,0.0,0.0
AFG,1968,Wrestling,0,0,0,0,0.0,0.0,0.0
AFG,1972,Wrestling,0,0,0,0,0.0,0.0,0.0
AFG,1980,Wrestling,0,0,0,0,0.0,0.0,0.0
AFG,1988,Wrestling,0,0,0,0,0.0,0.0,0.0
AFG,2004,Wrestling,0,0,0,0,0.0,0.0,0.0
AHO,1976,Athletics,0,0,0,0,0.0,0.0,0.0
AHO,1984,Athletics,0,0,0,0,0.0,0.0,0.0
AHO,1992,Athletics,0,0,0,0,0.0,0.0,0.0
AHO,1996,Athletics,0,0,0,0,0.0,0.0,0.0
AHO,2000,Athletics,0,0,0,0,0.0,0.0,0.0
AHO,2004,Athletics,0,0,0,0,0.0,0.0,0.0
AHO,2008,Athletics,0,0,0,0,0.0,0.0,0.0
AHO,1988,Sailing,1,0,1,0,0.24999999999999906,0.7500000000000009,5.551115123125783e-17
AHO,1992,Sailing,0,0,0,0,0.24999999999999964,-0.24999999999999967,2.7755575615628914e-17
AHO,1996,Sailing,0,0,0,0,0.2500000000000002,-0.2500000000000002,0.0
AHO,2000,Sailing,0,0,0,0,0.250000000000001,-0.250000000000001,0.0
AHO,1972,Shooting,0,0,0,0,0.0,0.0,0.0
AHO,1988,Shooting,0,0,0,0,0.0,0.0,0.0
AHO,1992,Shooting,0,0,0,0,0.0,0.0,0.0
AHO,1996,Shooting,0,0,0,0,0.0,0.0,0.0
AHO,2000,Shooting,0,0,0,0,0.0,0.0,0.0
AHO,2008,Shooting,0,0,0,0,0.0,0.0,0.0
AHO,1984,Swimming,0,0,0,0,0.0,0.0,0.0
AHO,1988,Swimming,0,0,0,0,0.0,0.0,0.0
AHO,1996,Swimming,0,0,0,0,0.0,0.0,0.0
AHO,2000,Swimming,0,0,0,0,0.0,0.0,0.0
AHO,2008,Swimming,0,0,0,0,0.0,0.0,0.0
AHO,1960,Weightlifting,0,0,0,0,0.0,0.0,0.0
AHO,1964,Weightlifting,0,0,0,0,0.0,0.0,0.0
AHO,1968,Weightlifting,0,0,0,0,0.0,0.0,0.0
AHO,1972,Weightlifting,0,0,0,0,0.0,0.0,0.0
ALB,1992,Athletics,0,0,0,0,0.0,0.0,0.0
ALB,1996,Athletics,0,0,0,0,0.0,0.0,0.0
