NOC,Year,Sport,Total,Gold,Silver,Bronze
AFG,1936,Athletics,0,0,0,0
AFG,1936,Hockey,0,0,0,0
AFG,1948,Football,0,0,0,0
AFG,1948,Hockey,0,0,0,0
AFG,1956,Hockey,0,0,0,0
AFG,1960,Athletics,0,0,0,0
AFG,1960,Wrestling,0,0,0,0
AFG,1964,Wrestling,0,0,0,0
AFG,1968,Wrestling,0,0,0,0
AFG,1972,Wrestling,0,0,0,0
AFG,1980,Boxing,0,0,0,0
AFG,1980,Wrestling,0,0,0,0
AFG,1988,Wrestling,0,0,0,0
AFG,1996,Athletics,0,0,0,0
AFG,2004,Athletics,0,0,0,0
AFG,2004,Boxing,0,0,0,0
AFG,2004,Judo,0,0,0,0
AFG,2004,Wrestling,0,0,0,0
AFG,2008,Athletics,0,0,0,0
AFG,2008,Taekwondo,1,0,0,1
AFG,2012,Athletics,0,0,0,0
AFG,2012,Boxing,0,0,0,0
AFG,2012,Judo,0,0,0,0
AFG,2012,Taekwondo,1,0,0,1
AFG,2016,Athletics,0,0,0,0
AFG,2016,Judo,0,0,0,0
AFG,2020,Athletics,0,0,0,0
AFG,2020,Shooting,0,0,0,0
AFG,2020,Swimming,0,0,0,0
AFG,2020,Taekwondo,0,0,0,0
AFG,2024,Athletics,0,0,0,0
AFG,2024,Cycling Road,0,0,0,0
AFG,2024,Judo,0,0,0,0
AFG,2024,Swimming,0,0,0,0
AHO,1952,Football,0,0,0,0
AHO,1960,Weightlifting,0,0,0,0
AHO,1964,Fencing,0,0,0,0
AHO,1964,Weightlifting,0,0,0,0
AHO,1968,Fencing,0,0,0,0
AHO,1968,Weightlifting,0,0,0,0
AHO,1972,Shooting,0,0,0,0
AHO,1972,Weightlifting,0,0,0,0
AHO,1976,Athletics,0,0,0,0
AHO,1976,Judo,0,0,0,0
AHO,1984,Athletics,0,0,0,0
AHO,1984,Swimming,0,0,0,0
AHO,1984,Synchronized Swimming,0,0,0,0
AHO,1988,Sailing,1,0,1,0
AHO,1988,Shooting,0,0,0,0
AHO,1988,Swimming,0,0,0,0
AHO,1992,Athletics,0,0,0,0
AHO,1992,Sailing,0,0,0,0
AHO,1992,Shooting,0,0,0,0
AHO,1996,Athletics,0,0,0,0
AHO,1996,Judo,0,0,0,0
AHO,1996,Sailing,0,0,0,0
AHO,1996,Shooting,0,0,0,0
AHO,1996,Swimming,0,0,0,0
AHO,2000,Athletics,0,0,0,0
AHO,2000,Equestrianism,0,0,0,0
AHO,2000,Sailing,0,0,0,0
AHO,2000,Shooting,0,0,0,0
AHO,2000,Swimming,0,0,0,0
AHO,2000,Triathlon,0,0,0,0
AHO,2004,Athletics,0,0,0,0
AHO,2004,Equestrianism,0,0,0,0
AHO,2008,Athletics,0,0,0,0
AHO,2008,Shooting,0,0,0,0
AHO,2008,Swimming,0,0,0,0
AIN,2024,Canoe Sprint,0,0,0,0
AIN,2024,Cycling Road,0,0,0,0
AIN,2024,Rowing,1,0,1,0
AIN,2024,Shooting,0,0,0,0
AIN,2024,Swimming,0,0,0,0
AIN,2024,Taekwondo,0,0,0,0
AIN,2024,Tennis,0,0,0,0
AIN,2024,Trampoline Gymnastics,2,1,1,0
AIN,2024,Weightlifting,1,0,0,1
AIN,2024,Wrestling,0,0,0,0
ALB,1972,Shooting,0,0,0,0
ALB,1972,Weightlifting,0,0,0,0
ALB,1992,Athletics,0,0,0,0
ALB,1992,Shooting,0,0,0,0
ALB,1992,Swimming,0,0,0,0
ALB,1992,Weightlifting,0,0,0,0
ALB,1996,Athletics,0,0,0,0
ALB,1996,Cycling,0,0,0,0
ALB,1996,Shooting,0,0,0,0
ALB,1996,Weightlifting,0,0,0,0
ALB,1996,Wrestling,0,0,0,0
ALB,2000,Athletics,0,0,0,0
ALB,2000,Shooting,0,0,0,0
ALB,2000,Weightlifting,0,0,0,0
ALB,2004,Athletics,0,0,0,0
ALB,2004,Swimming,0,0,0,0
ALB,2004,Weightlifting,0,0,0,0
ALB,2004,Wrestling,0,0,0,0
ALB,2008,Athletics,0,0,0,0
ALB,2008,Judo,0,0,0,0
ALB,2008,Shooting,0,0,0,0
ALB,2008,Swimming,0,0,0,0
ALB,2008,Weightlifting,0,0,0,0
ALB,2008,Wrestling,0,0,0,0
ALB,2012,Athletics,0,0,0,0
ALB,2012,Judo,0,0,0,0
ALB,2012,Shooting,0,0,0,0
ALB,2012,Swimming,0,0,0,0
ALB,2012,Weightlifting,0,0,0,0
ALB,2016,Athletics,0,0,0,0
ALB,2016,Swimming,0,0,0,0
ALB,2016,Weightlifting,0,0,0,0
ALB,2020,Artistic Gymnastics,0,0,0,0
ALB,2020,Athletics,0,0,0,0
ALB,2020,Judo,0,0,0,0
ALB,2020,Shooting,0,0,0,0
ALB,2020,Swimming,0,0,0,0
ALB,2020,Weightlifting,0,0,0,0
ALB,2024,Athletics,0,0,0,0
ALB,2024,Shooting,0,0,0,0
ALB,2024,Swimming,0,0,0,0
ALB,2024,Wrestling,2,0,0,2
ALG,1964,Gymnastics,0,0,0,0
ALG,1968,Boxing,0,0,0,0
ALG,1968,Gymnastics,0,0,0,0
ALG,1972,Athletics,0,0,0,0
ALG,1972,Boxing,0,0,0,0
ALG,1980,Athletics,0,0,0,0
ALG,1980,Boxing,0,0,0,0
ALG,1980,Fencing,0,0,0,0
ALG,1980,Football,0,0,0,0
ALG,1980,Handball,0,0,0,0
ALG,1980,Judo,0,0,0,0
ALG,1980,Swimming,0,0,0,0
ALG,1980,Weightlifting,0,0,0,0
ALG,1980,Wrestling,0,0,0,0
ALG,1984,Athletics,0,0,0,0
ALG,1984,Boxing,2,0,0,2
ALG,1984,Handball,0,0,0,0
ALG,1984,Weightlifting,0,0,0,0
ALG,1988,Athletics,0,0,0,0
ALG,1988,Boxing,0,0,0,0
ALG,1988,Cycling,0,0,0,0
ALG,1988,Handball,0,0,0,0
ALG,1988,Judo,0,0,0,0
ALG,1988,Tennis,0,0,0,0
ALG,1988,Weightlifting,0,0,0,0
ALG,1992,Athletics,1,1,0,0
ALG,1992,Boxing,1,0,0,1
ALG,1992,Judo,0,0,0,0
ALG,1992,Swimming,0,0,0,0
ALG,1992,Volleyball,0,0,0,0
ALG,1992,Weightlifting,0,0,0,0
ALG,1992,Wrestling,0,0,0,0
ALG,1996,Athletics,1,1,0,0
ALG,1996,Boxing,2,1,0,1
ALG,1996,Fencing,0,0,0,0
ALG,1996,Handball,0,0,0,0
ALG,1996,Judo,0,0,0,0
ALG,1996,Rowing,0,0,0,0
ALG,1996,Swimming,0,0,0,0
ALG,1996,Weightlifting,0,0,0,0
ALG,1996,Wrestling,0,0,0,0
ALG,2000,Athletics,4,1,1,2
ALG,2000,Boxing,1,0,0,1
ALG,2000,Fencing,0,0,0,0
ALG,2000,Judo,0,0,0,0
ALG,2000,Rowing,0,0,0,0
ALG,2000,Swimming,0,0,0,0
ALG,2000,Table Tennis,0,0,0,0
ALG,2000,Trampolining,0,0,0,0
ALG,2000,Weightlifting,0,0,0,0
ALG,2000,Wrestling,0,0,0,0
ALG,2004,Athletics,0,0,0,0
ALG,2004,Boxing,0,0,0,0
ALG,2004,Fencing,0,0,0,0
